idx,h,w
0,45,19
1,39,122
2,20,15
3,21,100
4,12,60
5,44,63
6,45,118
7,13,10
8,11,20
9,19,106
10,40,7
11,38,55
12,1,75
13,25,42
14,38,50
15,18,32
16,17,5
17,22,126
18,34,90
19,39,99
20,46,24
21,0,31
22,20,17
23,43,29
24,41,105
25,42,102
26,30,49
27,16,79
28,37,4
29,20,44
30,31,0
31,6,6
32,33,78
33,28,97
34,45,47
35,17,85
36,29,21
37,39,95
38,36,72
39,21,14
40,15,58
41,24,34
42,31,68
43,3,37
44,23,86
45,12,25
46,47,51
47,14,62
48,7,113
49,47,109
50,10,18
51,13,40
52,34,115
53,14,92
54,27,77
55,36,81
56,34,67
57,15,65
58,24,28
59,26,8
60,35,101
61,8,110
62,12,46
63,30,45
64,42,119
65,44,2
66,5,74
67,15,35
68,19,104
69,9,93
70,16,16
71,9,80
72,42,11
73,29,57
74,33,41
75,18,9
76,7,53
77,26,66
78,1,112
79,43,23
80,11,36
81,46,13
82,17,88
83,35,61
84,3,48
85,30,83
86,22,117
87,0,124
88,44,70
89,21,3
90,8,103
91,23,22
92,23,64
93,2,30
94,46,84
95,5,107
96,32,96
97,36,94
98,35,82
99,37,1
100,32,108
101,25,27
102,41,89
103,5,52
104,10,73
105,10,111
106,4,56
107,31,121
108,6,116
109,38,33
110,7,98
111,18,69
112,9,127
113,2,38
114,41,114
115,26,123
116,28,43
117,0,39
118,6,87
119,24,71
120,29,125
121,2,26
122,28,59
123,3,120
124,27,12
125,4,76
126,40,54
127,14,91
