idx,h,w
0,28,94
1,3,95
2,6,79
3,0,16
4,43,89
5,37,41
6,44,57
7,14,111
8,44,23
9,24,25
10,40,40
11,1,90
12,14,84
13,6,15
14,2,117
15,39,8
16,23,125
17,37,82
18,22,78
19,32,113
20,15,86
21,30,107
22,43,69
23,36,12
24,23,35
25,45,3
26,5,34
27,15,43
28,28,29
29,10,60
30,39,44
31,5,93
32,16,47
33,4,127
34,46,112
35,18,122
36,33,58
37,3,110
38,8,21
39,10,97
40,42,45
41,35,36
42,0,1
43,27,121
44,32,108
45,20,2
46,7,4
47,17,0
48,12,100
49,38,19
50,31,63
51,42,105
52,30,42
53,9,55
54,33,98
55,12,123
56,32,73
57,4,65
58,16,87
59,45,126
60,45,38
61,39,18
62,37,103
63,36,80
64,47,54
65,29,109
66,16,6
67,7,52
68,19,120
69,11,11
70,11,10
71,10,64
72,7,66
73,22,91
74,13,53
75,11,24
76,24,88
77,47,59
78,0,85
79,26,68
80,34,119
81,40,99
82,20,61
83,17,77
84,22,72
85,24,96
86,9,62
87,8,81
88,27,124
89,35,49
90,28,20
91,29,118
92,31,102
93,46,14
94,43,9
95,30,48
96,12,115
97,36,67
98,14,116
99,15,32
100,3,26
101,5,28
102,46,37
103,41,71
104,34,51
105,25,5
106,20,70
107,13,92
108,35,74
109,34,56
110,40,33
111,43,76
112,21,7
113,2,101
114,23,30
115,25,46
116,26,50
117,26,114
118,1,104
119,2,31
120,18,17
121,38,39
122,41,27
123,29,22
124,19,106
125,21,83
126,7,75
127,19,13
